id,text
1244401296871796736,: Fox is right to be concerned. Very concerned. This could be a legal bloodbath. Discovery will undoubtedly show that its per…
1244401296641150977,: SHE KNEW was capable of this before the Coronavirus Pandemic happened! …
1244401297069047810,: North Korea has fired two suspected ballistic missiles into the ocean off its east coast - according to South Korea an…
1244401297002041347,: People are complaining about another days of lockdown when it’s really gonna be another + days …
1244401297039732737,": JUST IN: President Trump says the highest point of coronavirus death rate in the U.S. is ""likely to hit in two weeks."""
1244401296939061249,: President Trump is now lashing out at who literally read his comments back to him about wanting to be appreciated b…
1244401297119490048,: i’ve decided i’m pushing my birthday back to june due to the ongoing corona situation
1244401297048174605,: -year-old boy arrested and taken into custody for breaking coronavirus lockdown rules
1244401297169809408,": After talking about his coronavirus ratings bonanza, Donald Trump says he can’t wait to find out what happenes on The Ba…"
1244401297199112193,": in US at a glance: 🇺🇸 ,653 confirmed cases 🇺🇸 ,112 deaths 🇺🇸 CDC issues domestic travel advisory for NY, NJ &amp; CT…"
1244401297194979328,": Today, Donald Trump has tweeted about: -His TV ratings. -His poll numbers. -The ""lamestream"" media. -Harry and Meghan.…"
1244401297056575489,": $6 Trillion ‘rescue package’ Capitalism dies: Oligarchs, buying influence in Washington and Westminster, have be…"
1244401297274687490,Man if y’all mfers still fukked up wen we get off this lockdown I feel sorry for y’all seriously
1244401297203384320,: delivers an extraordinary blessing “To the City and to the World” to pray for an end to the Covid-19 …
1244401297358385152,: Do any former liberals want to join me in making a video podcast about how repulsive the behavior of liberals is right n…
1244401297396240395,: What if China faked the severity of the Coronavirus in order to destabilize the rest of the world by making them think it w…
1244401297287241729,": “This is for real...Lord have mercy, Help us Lord...This is for real...Please stay inside, y’all.” Man films what appear…"
1244401297400434688,: This gives you an idea of how many layers of protection doctors need to keep themselves safe everyday from the Coronavir…
1244401297442451457,Swear since lockdown sleep has become a myth
1244401297467617280,": The day garri go finish for poor man house,Corona go know say nobody de fear am,for now make he de continue dey brag shaa."
1244401297316593666,": Dr. Fauci told me today that the coronavirus could kill anywhere from ,000 to ,000 Americans, and infect millions mor…"
1244401297404485633,: Trump thinks NYC doctors are nurses are just stealing masks.
1244401297522073600,": President Trump quotes as source on big ratings for his briefings while, in the same breath, attacks its credibi…"
1244401297543122944,: Every government is publicly tracking coronavirus deaths daily but there is not a single website that is counting all oth…
1244401297471791104,": Amid the horror, some hope.."
1244401297635360773,: ️Bad news. death toll in is accelerating; deaths nearly DOUBLED since yesterday. Deaths also surging in o…
1244401300999208960,: So another day lockdown....on my birthday month....
1244401301208752128,: We are a few minutes in to Trump’s press conference and he hasn’t said one word about the thousands of Americans that have died…
1244401300990758912,": % of New York State tests for coronavirus were positive yesterday (7,681/17,412)"
1244401300151971844,I'm having a very difficult time and the Corona virus made it worse. Having one of my favorite horses literally hug…
1244401301229838343,: Impossible to overstate how important this is...
1244401301167001606,": One month ago, Trump told Americans that there would soon be zero coronavirus cases in the United States. Now he’s saying h…"
1244401301393416192,: BREAKING: President Trump extends federal guidelines for social distancing through April to help slow the spread of the coronav…
1244401301342978049,because we all have coronavirus in us. Stop the lies. There is no evidence of healthy ppl staying home…
1244401301326364672,this is too much
1244401301355745281,: updates in Central Texas: Austin-Travis County reaches COVID-19 cases; eands executive order on tr…
1244401300827144197,To JEREMY DIAMOND ()... From all of us watching this shit show from home... and for what you did…
1244401301389217793,": . blames the lack of testing for on a faulty test from the previous administration. Uhh, what?…"
1244401301477371904,: WTF! Humana and Cigna are waiving co-pays for coronavirus? Landslide holy fucking shit.
1244401301515120644,: The first US death from the coronavirus was February . The th death was Thursday. The th death was today.
1244401301477298181,: Thanks to for passing me the microphone &amp; letting me ask my second question. I asked: Which health professionals…
1244401301519204352,: Stay at home. Save lives. Anyone can spread coronavirus.
1244401301435359234,: President Trump is now lashing out at who literally read his comments back to him about wanting to be appreciated b…
1244401301540220929,: Did the coronavirus write this
1244401301586411521,Imagine being stuck in lockdown with a girl that can’t cook
1244401301569654786,": NEW: France reports ,599 new cases of coronavirus and new deaths. A total of ,174 cases and ,606 deaths."
1244401301649117185,: Corona took ur jobs and y’all was worried about the Mexicans 🤣
1244401301577850880,": The number one killer in America is Heart disease. ,002 people a day. Did you know that if you die from heart disease…"
1244401301242478592,": So this happened twice today, with and : Reporters read Trump quote back to him, Trump denies and attacks.…"
1244401301393477645,President Trump adds days to distancing guidelines as coronavirus spreads – Q13 FOX News
1244401301749932033,": Coronavirus is formidable enough, particularly for disabled and chronically ill people. It is discriminatory to foreclose…"
1244401301716426758,: Hillary Clinton's toxic coronavirus commentary uses dead Americans as a political weapon
1244401301452136454,: If there is a “stay at home order”......Why is she out?
1244401301737189376,: Trump is now comparing his coronavirus press conferences to The Bachelor. The rest of us see him as The Bigger Loser.
1244401301611597829,": ""A national response to the coronavirus pandemic is under way,"" writes . ""Our federal response, however essential…"
1244401301724598272,: Bernie is still in it to win it. it would serve 🇺🇸 well if you granted Senator Sanders a or t…
1244401301791727616,": .: “The slow response, the failure to get going right away, the inability to do the things that needed to be do…"
1244401301687095297,": . said, ""I think landlords are going to take it easy,"" in reference to the pressure on tenants paying their rent…"
1244401301838073856,China Goes Back to Work as the Coronavirus Rages On Elsewhere
1244401301909377024,States Restrict Travelers from Coronavirus ‘Hot Zones’
1244401305126195202,": BREAKING: Trump Claims He Just Heard Today—for the First Time—That Coronavirus Could Kill Million; in Fact, CDC Said…"
1244401305054937090,"[3/6] My next planned trip was for this April during my birthday week, my mom really wanted to spend my th with m…"
1244401305050898434,Shakey x Coronavirus New via
1244401305273225219,: Coronavirus has delayed season of One Punch Man. Now I’m fucking mad. Fuck off
1244401305264836608,": “This is for real...Lord have mercy, Help us Lord...This is for real...Please stay inside, y’all.” Man films what appear…"
1244401305352900612,": From the very beginning, President took swift, decisive action on Coronavirus—and won't stop until we defe…"
1244401305378082818,": If you are, or have a family member who is, a returning , remind them they must… for days …"
1244401305067696129,: Nancy Pelosi can't rewrite history. Jan. tweets on coronavirus: Jan. tweets on impeachment:
1244401305478500352,: The first US death from the coronavirus was February . The th death was Thursday. The th death was today.
1244401305369665537,: Hi! How's your day going? I know the is making it difficult to work. So check my page frequently for some helpful…
