103,Urgent appeal: COVID-19 Relief Fund - Please help ⁦@ImperialCharity⁩ support NHS staff at our hospitals ⁦@ImperialNHS⁩ - to prepare for and respond to coronavirus ⁦@ianlush13⁩  https://t.co/Z5IdcCepbK
104,Life After Lockdown – Mental Health Charity CEO Issues Warning https://t.co/TNodjucbXf
105,"Even though most people are practicing social distancing by staying home, some still need to go out to work everyday and come home to their families. 
UNICEF Health Specialist, Dr. Peter Baffoe shares advice on how to protect yourself and your loved ones from #COVID19.
@UNinGhana https://t.co/JHiAhk5hmW"
106,@found__felix @chels_iii After corona adey France 😌
107,"My blood cells after this lockdown 😂😂
#LockdownSAExtended https://t.co/yghCVFmbgr"
108,There are 134 active cases of #COVID19 in Haryana out of which 106 patients are linked to Tablighi Jamaat: Haryana Health Minister Anil Vij https://t.co/vqkHyv5PVM
109,"The first #coronavirus task force is doing so well it they need a second coronavirus task force. Because every #pandemic task force needs a shoe saleswoman on it.

https://t.co/dxHhr4FlSo"
110,I say this cautiously but I think the tone of British reports about deaths &amp; lockdown in Italy a month ago was more alarmed &amp; urgent than reports of more daily deaths &amp; a less effective lockdown here now. It’s deeply disturbing &amp; I don’t  understand it. Is it just partisan bias?
111,@NikkiRedeemed @IngrahamAngle You state here that she had pneumonia but on your home page it was corona virus. It's hard to take someone seriously who can't get their story straight.
112,"Still getting our grow on despite the lockdown. Growing salad leaves hydroponically at home, should be ready to eat in about 3 wks. We also have some mini greenhouses kids could experiment with, just trying to source some seeds &amp; thinking of a safe way to get them to people 🌱 https://t.co/McJhoZuMFX"
113,"President Trump: You need to get a handle on testing. NOW.

We fought for free coronavirus testing. And we’re continuing to fight to ensure that Americans are getting tested so we can beat this pandemic and help those affected."
114,"This is for all the Frontline Warriors ~ fighting for us, saving us, risking their lives for us and our families against coronavirus! 
Have written these words to express my gratitude. 

I salute you.
India salutes you. 
Jai Hind! 🙏🇮🇳 https://t.co/tmKVVNIjmw"
115,"#AskZee
There are 9 corona cases in Nepal then why are you blaming nepal for corona spread in bihar. 6 Out of 9 cases has come from India. You r doing poor journalism . Don't spread rumors without investigation. You are spreading fake news in name of earning TRP.
#RipIndianMedia"
116,"They’re going to just allow mass death (including officers) instead of doing a slight, rational rethinking of jailing thousands of people on bail they can’t afford in horrific, unsanitary conditions. https://t.co/WpZJFaDjQF"
117,@russellhoward @russellhoward Please get @russell_kane on the show!!! His Kaneings are brilliant and I need more to get me through lockdown! #hometime
118,"#nnevvy One of the biggest joke in 2020: Corona virus does not come from China. Only stupid people will believe this. Oh wait, chinese people do."
119,"@ImranKhanPTI Khan Sahb, the #NayaMazdoor project is all about using digital disruption bridging the gap between unemployed labour &amp; demand. It'll help Government &amp; allow the labour TV earn while applying safety measures during corona pandemic. I've sent an email to Azam Khan. Hope you get it."
120,"The nation of the earth we need GOD'S intervention amidst this Corona Pandemic, look at how it has brought the so called super powers to their knees! There is #NeedforGlobalRepentance"
121,"As Attorney General of CA, I fought price gouging during wildfires, and I’m proud to introduce a bill with @ewarren to make price gouging illegal nationwide. We have to do what we can to protect consumers against those who’d take advantage of a crisis like the coronavirus."
122,"Japan is paying its companies to leave China and relocate production elsewhere as part of a stimulus deal in response to the Chinese coronavirus.

We should do the same.
https://t.co/T7M9irW6RZ"
123,hospital workers in Stockholm are getting 220% of their usual pay. hospital workers in the UK are getting a minute's applause and coronavirus
124,"Water hawker donates sh5,000 to fight Coronavirus

Read here👉 https://t.co/Xk475PgAnT | #VisionUpdates https://t.co/1x8O1bgxFJ"
125,"#Delhi: The area around H. No 9, Sangam Vihar declared ‘containment zone’ after a man tested positive for #coronavirus here. The area to remain sealed till April 25: Office of Sub-divisional Magistrate, Saket, Delhi Govt. (ANI) 
#CautionYesPanicNo"
126,"Jan - US Iran on the verge of World War 3
Feb - Australia bushfires killing 500 mil animals
Mar - World killer Coronavirus Pandemic
Apr - Fire in Chernobyl catchment area &amp; explosion of Krakatoa.

Year 2020 - Up Next? Tsunami, Aliens, Apocalypse or Netflix documentary?
#Krakatoa https://t.co/R6FqZXuIQb"
